类别,precision,recall,f1-score,support,accuracy,AP,AUC
airport_inside,0.5625,0.5625,0.5625,16.0,0.5625,0.5494205434066497,0.9785402521823472
artstudio,0.6363636363636364,0.4375,0.5185185185185185,16.0,0.4375,0.3824998254406557,0.9293161978661494
auditorium,0.7272727272727273,0.5714285714285714,0.64,14.0,0.5714285714285714,0.6411291089862518,0.9895588438666851
bakery,0.8,0.5333333333333333,0.64,15.0,0.5333333333333333,0.6587771532701779,0.9813953488372094
bar,0.3076923076923077,0.2857142857142857,0.2962962962962963,14.0,0.2857142857142857,0.448520036847727,0.965979809155027
bathroom,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0,0.8571428571428571,0.7840951449282939,0.9953671691329
bedroom,0.5238095238095238,0.6875,0.5945945945945946,16.0,0.6875,0.6557478978368858,0.9819350145489816
bookstore,0.6,0.75,0.6666666666666666,16.0,0.75,0.5676325834360857,0.9908462657613967
bowling,0.6666666666666666,0.75,0.7058823529411765,16.0,0.75,0.8859314479380269,0.9975751697381183
buffet,0.8666666666666667,0.8125,0.8387096774193549,16.0,0.8125,0.8942994505494506,0.9918768186226964
casino,0.7,0.9333333333333332,0.8,15.0,0.9333333333333332,0.907380046853731,0.9981912144702842
children_room,0.4,0.2857142857142857,0.3333333333333333,14.0,0.2857142857142857,0.4043664662574588,0.9784262204397732
church_inside,0.6363636363636364,0.9333333333333332,0.7567567567567568,15.0,0.9333333333333332,0.8635700362016151,0.9970284237726098
classroom,0.5263157894736842,0.7142857142857143,0.6060606060606061,14.0,0.7142857142857143,0.749033162847914,0.9791868344627299
cloister,1.0,0.9375,0.967741935483871,16.0,0.9375,0.9963235294117648,0.9999393792434529
closet,0.75,0.8571428571428571,0.8,14.0,0.8571428571428571,0.8865125924978139,0.9961277831558567
clothingstore,0.8333333333333334,0.3571428571428571,0.5,14.0,0.3571428571428571,0.7831057170342883,0.9953671691329
computerroom,0.5625,0.6428571428571429,0.6,14.0,0.6428571428571429,0.6871914138002151,0.9935002074401881
concert_hall,0.6666666666666666,0.625,0.6451612903225806,16.0,0.625,0.6430162362731306,0.9949078564500484
corridor,0.75,0.5625,0.6428571428571429,16.0,0.5625,0.7113461074398574,0.9899975751697382
deli,0.5,0.2666666666666666,0.3478260869565217,15.0,0.2666666666666666,0.4819224481955276,0.9308139534883721
dentaloffice,0.7142857142857143,0.625,0.6666666666666666,16.0,0.625,0.8191912687159119,0.9901188166828322
dining_room,0.6363636363636364,0.5,0.56,14.0,0.5,0.5584655821651072,0.9688839717881343
elevator,1.0,0.8125,0.896551724137931,16.0,0.8125,0.9409722222222222,0.9983026188166829
fastfood_restaurant,0.45,0.6923076923076923,0.5454545454545454,13.0,0.6923076923076923,0.7074049887375853,0.9891385210534147
florist,0.9333333333333332,0.9333333333333332,0.9333333333333332,15.0,0.9333333333333332,0.9888888888888888,0.9998062015503876
gameroom,0.8333333333333334,0.625,0.7142857142857143,16.0,0.625,0.7940019063180828,0.9878758486905916
garage,0.5789473684210527,0.7857142857142857,0.6666666666666666,14.0,0.7857142857142857,0.8935691501480973,0.9973032775549717
greenhouse,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,1.0,1.0
grocerystore,0.7857142857142857,0.6875,0.7333333333333333,16.0,0.6875,0.839857996808428,0.997029582929195
gym,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0,0.7857142857142857,0.8701150106360747,0.9904577513483612
hairsalon,0.5625,0.5625,0.5625,16.0,0.5625,0.4374014419638833,0.9603540252182348
hospitalroom,0.6666666666666666,0.625,0.6451612903225806,16.0,0.625,0.7608805222116443,0.9872696411251213
inside_bus,0.85,0.9444444444444444,0.8947368421052632,18.0,0.9444444444444444,0.9109627228033494,0.9978404060036713
inside_subway,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.9568173174442192,0.9989694471387003
jewelleryshop,0.34375,0.6470588235294118,0.4489795918367347,17.0,0.6470588235294118,0.7029746281367274,0.9661336379211879
kindergarden,0.56,0.875,0.6829268292682927,16.0,0.875,0.7215310320089732,0.9956959262851601
kitchen,0.8666666666666667,0.8125,0.8387096774193549,16.0,0.8125,0.8954098003918534,0.9958171677982541
laboratorywet,0.6111111111111112,0.6470588235294118,0.6285714285714286,17.0,0.6470588235294118,0.6286634797840018,0.9897201599086236
laundromat,0.75,0.75,0.75,16.0,0.75,0.8238020109050055,0.9903612997090203
library,0.8888888888888888,0.5,0.64,16.0,0.5,0.8068291083916084,0.9952715809893308
livingroom,0.5833333333333334,0.4375,0.5,16.0,0.4375,0.6547396496817596,0.9833292919495635
lobby,0.8571428571428571,0.375,0.5217391304347826,16.0,0.375,0.5627257540507924,0.9622938894277401
locker_room,0.5555555555555556,0.625,0.5882352941176471,16.0,0.625,0.6570494303076834,0.9742361784675072
mall,0.5,0.5,0.5,16.0,0.5,0.666761751601702,0.9823593598448109
meeting_room,0.5263157894736842,0.5882352941176471,0.5555555555555556,17.0,0.5882352941176471,0.698321133657203,0.9896059394631639
movietheater,0.6190476190476191,0.8125,0.7027027027027027,16.0,0.8125,0.8028399224232557,0.9878758486905916
museum,1.0,0.2777777777777778,0.4347826086956521,18.0,0.2777777777777778,0.5033432392380657,0.9095130115538278
nursery,0.8571428571428571,0.75,0.8,16.0,0.75,0.9549073101462808,0.9990300678952474
office,0.4210526315789473,0.5,0.4571428571428571,16.0,0.5,0.5237980804658274,0.9738118331716781
operating_room,0.8,0.5333333333333333,0.64,15.0,0.5333333333333333,0.712388308858897,0.9757751937984496
pantry,0.9375,0.9375,0.9375,16.0,0.9375,0.9891493055555556,0.9998181377303589
poolinside,0.8,1.0,0.8888888888888888,16.0,1.0,0.9609034605745131,0.9993331716779826
prisoncell,0.5882352941176471,0.625,0.6060606060606061,16.0,0.625,0.6160422671410404,0.9772672162948595
restaurant,0.5333333333333333,0.5,0.5161290322580645,16.0,0.5,0.5536981240172234,0.9257395732298739
restaurant_kitchen,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0,0.7222222222222222,0.7847135984802522,0.9918475326638592
shoeshop,0.4117647058823529,0.4666666666666667,0.4375,15.0,0.4666666666666667,0.4783767309182696,0.9691860465116279
stairscase,0.7333333333333333,0.6875,0.7096774193548387,16.0,0.6875,0.7889489962651728,0.992786129970902
studiomusic,0.7894736842105263,1.0,0.8823529411764706,15.0,1.0,0.9788888888888888,0.9996124031007751
subway,0.6363636363636364,0.4375,0.5185185185185185,16.0,0.4375,0.69020031023977,0.9923011639185256
toystore,0.5333333333333333,0.4705882352941176,0.5,17.0,0.4705882352941176,0.5850286707223261,0.9848657909765848
trainstation,0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0,0.7333333333333333,0.6127732730519108,0.9900516795865634
tv_studio,0.8181818181818182,0.6428571428571429,0.72,14.0,0.6428571428571429,0.7338411681074037,0.9851334531876642
videostore,0.631578947368421,0.7058823529411765,0.6666666666666666,17.0,0.7058823529411765,0.7574673345810702,0.983495145631068
waitingroom,0.5,0.4375,0.4666666666666667,16.0,0.4375,0.4773435539400213,0.9606571290009699
warehouse,0.6428571428571429,0.5625,0.6,16.0,0.5625,0.7228093131072781,0.984056741028128
winecellar,0.56,0.875,0.6829268292682927,16.0,0.875,0.7234319613056025,0.9902400581959263
macro avg,0.6798931028372253,0.6604794520180824,0.6553225168466956,1047.0,0.6604794520180824,0.7288067397830291,0.9838276026330983
weighted avg,0.6816070521918389,0.6609360076408787,0.6561665956608637,1047.0,0.6609360076408787,0.7290986146757191,0.9836633730538853
