类别,precision,recall,f1-score,support,accuracy,AP,AUC
airport_inside,0.5263157894736842,0.625,0.5714285714285714,16.0,0.625,0.6273868519893612,0.9831474296799224
artstudio,0.5714285714285714,0.5,0.5333333333333333,16.0,0.5,0.6030569771378596,0.9803588748787585
auditorium,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0,0.7142857142857143,0.7775430406766811,0.9890748167611673
bakery,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0,0.7333333333333333,0.7244446967306053,0.9616925064599482
bar,0.6470588235294118,0.7857142857142857,0.7096774193548387,14.0,0.7857142857142857,0.722394533571004,0.9908034849951598
bathroom,0.875,1.0,0.9333333333333332,14.0,1.0,0.9503178194354662,0.9991702392476836
bedroom,0.6666666666666666,0.75,0.7058823529411765,16.0,0.75,0.7272201786646446,0.992725509214355
bookstore,0.6842105263157895,0.8125,0.7428571428571429,16.0,0.8125,0.6046674525209765,0.9918161978661494
bowling,0.8125,0.8125,0.8125,16.0,0.8125,0.8901493930905696,0.9972114451988361
buffet,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.9376136363636364,0.9975145489815713
casino,0.8235294117647058,0.9333333333333332,0.875,15.0,0.9333333333333332,0.9458441558441556,0.9989664082687338
children_room,0.5,0.5714285714285714,0.5333333333333333,14.0,0.5714285714285714,0.534457716290004,0.9785645138984926
church_inside,0.7368421052631579,0.9333333333333332,0.8235294117647058,15.0,0.9333333333333332,0.9448244414044686,0.9979974160206718
classroom,0.375,0.6428571428571429,0.4736842105263157,14.0,0.6428571428571429,0.6013260443764041,0.9688148250587747
cloister,0.8421052631578947,1.0,0.9142857142857144,16.0,1.0,0.9606282096171802,0.9993937924345296
closet,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0,0.7857142857142857,0.8844447956173618,0.9921172728529941
clothingstore,0.6666666666666666,0.5714285714285714,0.6153846153846154,14.0,0.5714285714285714,0.754632885542881,0.993984234545706
computerroom,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0,0.7142857142857143,0.7973858818889874,0.9932236205227493
concert_hall,0.6842105263157895,0.8125,0.7428571428571429,16.0,0.8125,0.6737832474066742,0.9928467507274491
corridor,0.75,0.5625,0.6428571428571429,16.0,0.5625,0.7355110498254716,0.989876333656644
deli,0.8333333333333334,0.3333333333333333,0.4761904761904761,15.0,0.3333333333333333,0.619486252232268,0.9768733850129199
dentaloffice,0.7692307692307693,0.625,0.6896551724137931,16.0,0.625,0.7924795894465012,0.9954534432589719
dining_room,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0,0.7142857142857143,0.7549735663496167,0.9676393306596598
elevator,0.8666666666666667,0.8125,0.8387096774193549,16.0,0.8125,0.949032738095238,0.9989694471387003
fastfood_restaurant,0.6666666666666666,0.6153846153846154,0.64,13.0,0.6153846153846154,0.7567268264299302,0.9917423002529385
florist,0.9333333333333332,0.9333333333333332,0.9333333333333332,15.0,0.9333333333333332,0.975,0.9994186046511627
gameroom,0.8571428571428571,0.75,0.8,16.0,0.75,0.8178110951548452,0.9815712900096993
garage,0.5789473684210527,0.7857142857142857,0.6666666666666666,14.0,0.7857142857142857,0.7743792517006802,0.993984234545706
greenhouse,1.0,1.0,1.0,16.0,1.0,1.0,1.0
grocerystore,0.8125,0.8125,0.8125,16.0,0.8125,0.891027943621454,0.998545101842871
gym,0.9230769230769232,0.8571428571428571,0.8888888888888888,14.0,0.8571428571428571,0.8899244196513103,0.9922555663117135
hairsalon,0.5,0.5,0.5,16.0,0.5,0.6063515593024107,0.982480601357905
hospitalroom,0.75,0.75,0.75,16.0,0.75,0.8636819797849209,0.9935135790494666
inside_bus,0.875,0.7777777777777778,0.8235294117647058,18.0,0.7777777777777778,0.8945538406490596,0.9961667206565166
inside_subway,0.8823529411764706,0.9375,0.9090909090909092,16.0,0.9375,0.938638620004964,0.9959990300678953
jewelleryshop,0.5714285714285714,0.4705882352941176,0.5161290322580645,17.0,0.4705882352941176,0.6745480187615738,0.9857795545402627
kindergarden,0.65,0.8125,0.7222222222222222,16.0,0.8125,0.6661111436508107,0.9946047526673132
kitchen,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.845975043619993,0.9952109602327838
laboratorywet,0.6,0.7058823529411765,0.6486486486486487,17.0,0.7058823529411765,0.7288900353375232,0.9950885208452314
laundromat,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.8707743676550085,0.9830868089233753
library,0.6470588235294118,0.6875,0.6666666666666666,16.0,0.6875,0.7593158559708327,0.9924224054316199
livingroom,0.7142857142857143,0.625,0.6666666666666666,16.0,0.625,0.7273844591954379,0.9844810863239573
lobby,0.5714285714285714,0.5,0.5333333333333333,16.0,0.5,0.6557959492311172,0.9454413191076625
locker_room,0.625,0.625,0.625,16.0,0.625,0.6075045920649118,0.99139185257032
mall,0.4782608695652174,0.6875,0.5641025641025641,16.0,0.6875,0.4911533354648054,0.9889670223084384
meeting_room,0.625,0.5882352941176471,0.6060606060606061,17.0,0.5882352941176471,0.7062399619037755,0.9916047972587093
