类别,precision,recall,f1-score,support,accuracy,AP,AUC
Bedroom,0.7373737373737373,0.7934782608695652,0.7643979057591623,92.0,0.7934782608695652,0.8558403443317231,0.9924515590306113
Coast,0.8070175438596491,0.8846153846153846,0.8440366972477065,208.0,0.8846153846153846,0.9430859721522612,0.9930481874447392
Forest,0.8994708994708994,0.934065934065934,0.9164420485175202,182.0,0.934065934065934,0.9685550309389868,0.997189089874233
Highway,0.8405797101449275,0.90625,0.8721804511278195,128.0,0.90625,0.9387543720001936,0.9914149113082039
Industrial,0.8430232558139535,0.8630952380952381,0.8529411764705882,168.0,0.8630952380952381,0.9040918966241503,0.9896028162958186
InsideCity,0.847953216374269,0.8734939759036144,0.8605341246290801,166.0,0.8734939759036144,0.935721443640522,0.9941878474656406
Kitchen,0.851063829787234,0.9090909090909092,0.8791208791208791,88.0,0.9090909090909092,0.9450366115170068,0.996593384828679
LivingRoom,0.8085106382978723,0.7549668874172185,0.7808219178082192,151.0,0.7549668874172185,0.8829439448974031,0.9922203232927438
Mountain,0.9308510638297872,0.7990867579908676,0.85995085995086,219.0,0.7990867579908676,0.9549735043491132,0.9943386591716675
Office,0.8829787234042553,0.9021739130434784,0.8924731182795699,92.0,0.9021739130434784,0.9676520570701476,0.9982160818325015
OpenCountry,0.7914893617021277,0.75,0.7701863354037267,248.0,0.75,0.8697054107625106,0.9804638513258291
Store,0.9580838323353292,0.9302325581395348,0.943952802359882,172.0,0.9302325581395348,0.9805635411816012,0.9986431478968792
Street,0.8987341772151899,0.9281045751633988,0.9131832797427653,153.0,0.9281045751633988,0.9688692461103744,0.9966822005334272
Suburb,0.9736842105263158,0.9910714285714286,0.9823008849557522,112.0,0.9910714285714286,0.9990199096880132,0.9999488897276215
TallBuilding,0.9487179487179488,0.9068627450980392,0.9273182957393484,204.0,0.9068627450980392,0.9798645714277384,0.995606457360365
macro avg,0.8679688099235664,0.8751059045376407,0.8706560518075255,2383.0,0.8751059045376407,0.9396451904461164,0.9940404938259308
weighted avg,0.8697567908055499,0.868233319345363,0.8679965807228606,2383.0,0.8682333193453631,0.9389712042256602,0.9933575761686451
