类别,precision,recall,f1-score,support,accuracy,AP,AUC
Bedroom,0.7888888888888889,0.7717391304347826,0.7802197802197802,92.0,0.7717391304347826,0.8779916678394131,0.9943161330727041
Coast,0.897196261682243,0.9230769230769232,0.909952606635071,208.0,0.9230769230769232,0.9681489168919204,0.9952232537577366
Forest,0.9247311827956988,0.945054945054945,0.9347826086956522,182.0,0.945054945054945,0.9681176358602044,0.9977308016835504
Highway,0.9285714285714286,0.9140625,0.9212598425196852,128.0,0.9140625,0.9535285275334784,0.9955203713968958
Industrial,0.8736263736263736,0.9464285714285714,0.9085714285714286,168.0,0.9464285714285714,0.9376334903394412,0.9952327206277545
InsideCity,0.912751677852349,0.8192771084337349,0.8634920634920635,166.0,0.8192771084337349,0.9441687771201904,0.9939405796392607
Kitchen,0.9222222222222224,0.9431818181818182,0.9325842696629212,88.0,0.9431818181818182,0.9792906726862074,0.9988512576747871
LivingRoom,0.8243243243243243,0.8079470198675497,0.8160535117056856,151.0,0.8079470198675497,0.9069302855182688,0.9935377056184576
Mountain,0.9483568075117372,0.9223744292237442,0.9351851851851852,219.0,0.9223744292237442,0.987668201755158,0.9986854210450797
Office,0.9175257731958762,0.967391304347826,0.9417989417989416,92.0,0.967391304347826,0.986472527910097,0.9994116865617825
OpenCountry,0.8395061728395061,0.8225806451612904,0.8309572301425662,248.0,0.8225806451612904,0.9089373652894848,0.9870042305658382
Store,0.9585798816568049,0.9418604651162792,0.9501466275659824,172.0,0.9418604651162792,0.9912268243804592,0.9992426871982582
Street,0.8596491228070176,0.9607843137254902,0.9074074074074074,153.0,0.9607843137254902,0.9756076442267824,0.9979219789560069
Suburb,0.956896551724138,0.9910714285714286,0.9736842105263158,112.0,0.9910714285714286,0.9978382675609468,0.9998977794552432
TallBuilding,0.984126984126984,0.9117647058823528,0.9465648854961832,204.0,0.9117647058823528,0.9858312516140432,0.9967807682963042
macro avg,0.902463576921706,0.9059063539004492,0.903510706641658,2383.0,0.9059063539004492,0.957959470435073,0.9962198250366439
weighted avg,0.9042819022188984,0.9034830046160304,0.9031943381847616,2383.0,0.90348300461603,0.9579838376392524,0.9957751307350157
