类别,precision,recall,f1-score,support,accuracy,AP,AUC
airport_inside,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.9038540741665742,0.9983632395732299
artstudio,1.0,0.9375,0.967741935483871,16.0,0.9375,1.0,1.0
auditorium,0.625,0.7142857142857143,0.6666666666666666,14.0,0.7142857142857143,0.7267703256717538,0.9927395934172314
bakery,0.8571428571428571,0.8,0.8275862068965517,15.0,0.8,0.879206930635502,0.9935400516795865
bar,1.0,0.9285714285714286,0.9629629629629628,14.0,0.9285714285714286,0.9812030075187969,0.9996542663532015
bathroom,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0,0.9285714285714286,0.9487262737262736,0.9991702392476836
bedroom,0.9230769230769232,0.75,0.8275862068965517,16.0,0.75,0.903756621698432,0.9953928225024249
bookstore,0.7368421052631579,0.875,0.8,16.0,0.875,0.819850265457517,0.9964839961202716
bowling,1.0,1.0,1.0,16.0,1.0,1.0,1.0
buffet,1.0,0.9375,0.967741935483871,16.0,0.9375,0.9930555555555556,0.9998787584869059
casino,0.9333333333333332,0.9333333333333332,0.9333333333333332,15.0,0.9333333333333332,0.981498778998779,0.9997416020671834
children_room,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0,0.7142857142857143,0.8810894987365574,0.9970266906375329
church_inside,0.9333333333333332,0.9333333333333332,0.9333333333333332,15.0,0.9333333333333332,0.9888888888888888,0.9998062015503876
classroom,0.875,1.0,0.9333333333333332,14.0,1.0,0.9608861376718518,0.9995159728944821
cloister,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,1.0,1.0
closet,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0,0.9285714285714286,0.9901360544217686,0.9998617065412806
clothingstore,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0,0.9285714285714286,0.9873949579831932,0.999792559811921
computerroom,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0,0.9285714285714286,0.9910714285714284,0.9998617065412806
concert_hall,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.801984092828882,0.9966052376333656
corridor,0.9230769230769232,0.75,0.8275862068965517,16.0,0.75,0.9570441813088872,0.9992119301648884
deli,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0,0.7333333333333333,0.9010341510341509,0.9982558139534884
dentaloffice,1.0,0.875,0.9333333333333332,16.0,0.875,0.938508064516129,0.9981813773035887
dining_room,1.0,0.7857142857142857,0.88,14.0,0.7857142857142857,0.9029800088246274,0.9876227354446134
elevator,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.9963235294117648,0.9999393792434529
fastfood_restaurant,1.0,1.0,1.0,13.0,1.0,0.9999999999999998,1.0
florist,1.0,1.0,1.0,15.0,1.0,1.0,1.0
gameroom,0.9375,0.9375,0.9375,16.0,0.9375,0.9963235294117648,0.9999393792434529
garage,0.9333333333333332,1.0,0.9655172413793104,14.0,1.0,0.9999999999999998,1.0
greenhouse,1.0,1.0,1.0,16.0,1.0,1.0,1.0
grocerystore,0.7777777777777778,0.875,0.8235294117647058,16.0,0.875,0.9719611528822056,0.9994544131910766
gym,1.0,1.0,1.0,14.0,1.0,0.9999999999999998,1.0
hairsalon,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.9837863270308124,0.9997575169738118
hospitalroom,0.9375,0.9375,0.9375,16.0,0.9375,0.9770720108695652,0.9995150339476236
inside_bus,0.9473684210526316,1.0,0.972972972972973,18.0,1.0,1.0000000000000002,1.0
inside_subway,1.0,0.9375,0.967741935483871,16.0,0.9375,1.0,1.0
jewelleryshop,0.7272727272727273,0.9411764705882352,0.8205128205128205,17.0,0.9411764705882352,0.9689542483660132,0.9989149057681326
kindergarden,0.75,0.9375,0.8333333333333334,16.0,0.9375,0.9071327467467174,0.9987875848690592
kitchen,1.0,0.9375,0.967741935483871,16.0,0.9375,0.9963235294117648,0.9999393792434529
laboratorywet,1.0,1.0,1.0,17.0,1.0,1.0,1.0
laundromat,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,1.0,1.0
library,0.8235294117647058,0.875,0.8484848484848485,16.0,0.875,0.84734847619878,0.9973326867119302
livingroom,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.8537564454621968,0.9931498545101843
lobby,0.7777777777777778,0.875,0.8235294117647058,16.0,0.875,0.9585565476190476,0.9992725509214355
locker_room,1.0,1.0,1.0,16.0,1.0,1.0,1.0
mall,0.8823529411764706,0.9375,0.9090909090909092,16.0,0.9375,0.9777661064425772,0.9995756547041708
meeting_room,0.85,1.0,0.918918918918919,17.0,1.0,0.9866713713349118,0.9997715591090806
movietheater,1.0,0.75,0.8571428571428571,16.0,0.75,0.9604500891265596,0.9988482056256062
museum,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0,0.6111111111111112,0.8544283413848632,0.9919015225137674
nursery,1.0,0.9375,0.967741935483871,16.0,0.9375,0.9963235294117648,0.9999393792434529
office,0.8571428571428571,0.75,0.8,16.0,0.75,0.8428407403784727,0.9867846750727449
operating_room,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0,0.8666666666666667,0.9505411255411256,0.9986434108527131
pantry,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.9963235294117648,0.9999393792434529
poolinside,1.0,1.0,1.0,16.0,1.0,1.0,1.0
prisoncell,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.9820586622807016,0.9996968962172648
restaurant,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.9837863270308124,0.9997575169738118
restaurant_kitchen,0.9,1.0,0.9473684210526316,18.0,1.0,0.9726723666674648,0.9995680812007343
shoeshop,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0,0.6666666666666666,0.9273187777135146,0.9987726098191214
stairscase,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,1.0,1.0
studiomusic,1.0,1.0,1.0,15.0,1.0,1.0,1.0
subway,0.7894736842105263,0.9375,0.8571428571428571,16.0,0.9375,0.9476323566784092,0.9991513094083414
toystore,0.8,0.7058823529411765,0.75,17.0,0.7058823529411765,0.9021893139540198,0.9980582524271845
trainstation,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0,0.7333333333333333,0.914565337763012,0.9974806201550387
tv_studio,1.0,1.0,1.0,14.0,1.0,0.9999999999999998,1.0
videostore,0.9230769230769232,0.7058823529411765,0.8,17.0,0.7058823529411765,0.8741600182583155,0.993889206167904
waitingroom,0.8666666666666667,0.8125,0.8387096774193549,16.0,0.8125,0.8830388667704845,0.9977570320077594
warehouse,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.9805183531746032,0.9996968962172648
winecellar,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,0.9924172794117648,0.9998787584869059
macro avg,0.9038083643889752,0.8990725643491227,0.8982421645831684,1047.0,0.8990725643491227,0.9525698557367362,0.9984450768954398
weighted avg,0.9034184511164294,0.8987583572110793,0.8977847055926567,1047.0,0.8987583572110793,0.9524904415864104,0.9984431368777049
