类别,precision,recall,f1-score,support,accuracy,AP,AUC
airport_inside,0.8235294117647058,0.875,0.8484848484848485,16.0,0.875,0.9281834586981644,0.9988482056256062
artstudio,1.0,0.8125,0.896551724137931,16.0,0.8125,0.9930555555555556,0.9998787584869059
auditorium,0.6153846153846154,0.5714285714285714,0.5925925925925926,14.0,0.5714285714285714,0.6889455782312924,0.9928087401465912
bakery,0.8235294117647058,0.9333333333333332,0.875,15.0,0.9333333333333332,0.9397584541062802,0.9949612403100775
bar,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0,0.8571428571428571,0.9373015873015872,0.9982021850366477
bathroom,0.8125,0.9285714285714286,0.8666666666666667,14.0,0.9285714285714286,0.8935126381554952,0.9986170654128059
bedroom,0.8461538461538461,0.6875,0.7586206896551724,16.0,0.6875,0.8449775592055004,0.9880577109602328
bookstore,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.747846842699784,0.997090203685742
bowling,1.0,1.0,1.0,16.0,1.0,1.0,1.0
buffet,1.0,0.875,0.9333333333333332,16.0,0.875,0.9385775862068966,0.9981813773035888
casino,1.0,0.9333333333333332,0.9655172413793104,15.0,0.9333333333333332,0.992156862745098,0.9998708010335917
children_room,0.7222222222222222,0.9285714285714286,0.8125,14.0,0.9285714285714286,0.9203144894321365,0.9986170654128059
church_inside,1.0,0.9333333333333332,0.9655172413793104,15.0,0.9333333333333332,0.992156862745098,0.9998708010335917
classroom,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0,0.9285714285714286,0.9643525242264736,0.9995159728944821
cloister,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,1.0,1.0
closet,0.875,1.0,0.9333333333333332,14.0,1.0,0.9440210583067724,0.9993776794357627
clothingstore,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0,0.9285714285714286,0.9440210583067724,0.9993776794357627
computerroom,1.0,0.9285714285714286,0.9629629629629628,14.0,0.9285714285714286,0.9588744588744588,0.9986862121421657
concert_hall,0.6842105263157895,0.8125,0.7428571428571429,16.0,0.8125,0.7768963675213674,0.9964233753637245
corridor,1.0,0.75,0.8571428571428571,16.0,0.75,0.9714349376114082,0.9994544131910765
deli,0.8125,0.8666666666666667,0.8387096774193549,15.0,0.8666666666666667,0.916561134943488,0.998578811369509
dentaloffice,1.0,0.875,0.9333333333333332,16.0,0.875,0.9272186147186148,0.9973326867119302
dining_room,1.0,0.7857142857142857,0.88,14.0,0.7857142857142857,0.8910836073559856,0.9970958373668926
elevator,1.0,1.0,1.0,16.0,1.0,1.0,1.0
fastfood_restaurant,0.8125,1.0,0.896551724137931,13.0,1.0,0.9745879120879116,0.9996280315429251
florist,0.9375,1.0,0.967741935483871,15.0,1.0,1.0,1.0
gameroom,1.0,0.9375,0.967741935483871,16.0,0.9375,0.9791666666666666,0.9995150339476236
garage,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0,0.9285714285714286,0.9745225013082156,0.9996542663532015
greenhouse,1.0,1.0,1.0,16.0,1.0,1.0,1.0
grocerystore,0.9285714285714286,0.8125,0.8666666666666667,16.0,0.8125,0.9786119711042311,0.9996362754607178
gym,1.0,1.0,1.0,14.0,1.0,0.9999999999999998,1.0
hairsalon,0.9375,0.9375,0.9375,16.0,0.9375,0.9639098419540232,0.9990906886517943
hospitalroom,0.8333333333333334,0.9375,0.8823529411764706,16.0,0.9375,0.964001225490196,0.9992725509214355
inside_bus,0.8571428571428571,1.0,0.9230769230769232,18.0,1.0,0.986215538847118,0.999730050750459
inside_subway,1.0,0.8125,0.896551724137931,16.0,0.8125,0.988250612745098,0.9998181377303589
jewelleryshop,0.8,0.7058823529411765,0.75,17.0,0.7058823529411765,0.9342255063275826,0.9988577955454027
kindergarden,0.8235294117647058,0.875,0.8484848484848485,16.0,0.875,0.9572849025974026,0.9991513094083414
kitchen,0.875,0.875,0.875,16.0,0.875,0.961875,0.9991513094083414
laboratorywet,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0,0.8823529411764706,0.9532212885154064,0.9983438035408339
laundromat,0.8823529411764706,0.9375,0.9090909090909092,16.0,0.9375,0.9930555555555556,0.9998787584869059
library,0.8235294117647058,0.875,0.8484848484848485,16.0,0.875,0.8854884344241929,0.997029582929195
livingroom,0.8235294117647058,0.875,0.8484848484848485,16.0,0.875,0.8735710572107631,0.9878758486905916
lobby,0.9285714285714286,0.8125,0.8666666666666667,16.0,0.8125,0.9615084670231728,0.9992725509214354
locker_room,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,0.9930555555555556,0.9998787584869059
mall,0.8,0.75,0.7741935483870968,16.0,0.75,0.9232018849206348,0.9985451018428709
meeting_room,0.8095238095238095,1.0,0.8947368421052632,17.0,1.0,0.993808049535604,0.9998857795545403
movietheater,0.9230769230769232,0.75,0.8275862068965517,16.0,0.75,0.951658757908758,0.9990906886517943
museum,0.8125,0.7222222222222222,0.7647058823529411,18.0,0.7222222222222222,0.8376536529314309,0.9902278371666127
