类别,precision,recall,f1-score,support,accuracy,AP,AUC
Citizen Park,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0,0.8333333333333334,0.9439648540761686,0.9982932346288299
Group photo,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0,0.8333333333333334,0.912657697383332,0.9954966070326958
airport,0.9666666666666668,0.9666666666666668,0.9666666666666668,30.0,0.9666666666666668,0.9978136200716844,0.9999588731235863
ancient temple,0.90625,0.9666666666666668,0.935483870967742,30.0,0.9666666666666668,0.9671669214569196,0.999218589348139
art gallery,0.7407407407407407,0.7692307692307693,0.7547169811320755,26.0,0.7692307692307693,0.7877848595928147,0.9968165680473373
backpacker,0.7,0.7,0.7,30.0,0.7,0.7524641992518464,0.9937281513469053
beach,0.7741935483870968,0.8,0.7868852459016393,30.0,0.8,0.8829256333917415,0.9926999794365617
botanical garden,0.935483870967742,1.0,0.9666666666666668,29.0,1.0,0.9938265878218316,0.9998937029635614
bridge,0.9615384615384616,0.8928571428571429,0.925925925925926,28.0,0.8928571428571429,0.991879918339278,0.9998679693688935
cable car,1.0,0.9666666666666668,0.9830508474576272,30.0,0.9666666666666668,0.996078431372549,0.9999177462471726
camping,1.0,1.0,1.0,28.0,1.0,1.0,1.0
canyon,1.0,0.9642857142857144,0.9818181818181818,28.0,0.9642857142857144,1.0,1.0
castle,0.9375,1.0,0.967741935483871,30.0,1.0,0.9978136200716844,0.9999588731235863
cave,0.9333333333333332,1.0,0.9655172413793104,28.0,1.0,0.998768472906404,0.9999779948948155
church,0.9655172413793104,0.9333333333333332,0.9491525423728814,30.0,0.9333333333333332,0.9819997603128096,0.9995887312358626
city walk,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0,0.7037037037037037,0.7737721245006215,0.9931353767560664
cliff,0.9230769230769232,0.9230769230769232,0.9230769230769232,26.0,0.9230769230769232,0.9708190945539124,0.9993609467455621
concert hall,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0,0.7931034482758621,0.898853961159414,0.9981716909732556
couple,0.8928571428571429,0.925925925925926,0.9090909090909092,27.0,0.925925925925926,0.988095238095238,0.999749133369823
desert,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0,0.8666666666666667,0.9496430370321174,0.9989512646514497
dining,0.967741935483871,1.0,0.9836065573770492,30.0,1.0,0.9989247311827956,0.9999794365617932
entertainment district,0.7777777777777778,0.7,0.7368421052631579,30.0,0.7,0.8909488302201052,0.9971416820892453
exhibition hall,0.8275862068965517,0.8888888888888888,0.8571428571428571,27.0,0.8888888888888888,0.9662082998043784,0.9994526546250684
family with kids,0.8709677419354839,0.9310344827586208,0.9,29.0,0.9310344827586208,0.9268643361207922,0.9991071048939156
forest,1.0,0.9,0.9473684210526316,30.0,0.9,0.981187149013974,0.9995681677976558
fountain,1.0,0.9666666666666668,0.9830508474576272,30.0,0.9666666666666668,0.9989247311827956,0.9999794365617932
