图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,Citizen Park-预测置信度,Group photo-预测置信度,airport-预测置信度,ancient temple-预测置信度,art gallery-预测置信度,backpacker-预测置信度,beach-预测置信度,botanical garden-预测置信度,bridge-预测置信度,cable car-预测置信度,camping-预测置信度,canyon-预测置信度,castle-预测置信度,cave-预测置信度,church-预测置信度,city walk-预测置信度,cliff-预测置信度,concert hall-预测置信度,couple-预测置信度,desert-预测置信度,dining-预测置信度,entertainment district-预测置信度,exhibition hall-预测置信度,family with kids-预测置信度,forest-预测置信度,fountain-预测置信度,glacier-预测置信度,harbor-预测置信度,hiking-预测置信度,island-预测置信度,lake-预测置信度,library-预测置信度,monument-预测置信度,mountain-预测置信度,museum-预测置信度,nightclub-预测置信度,ocean-预测置信度,opera house-预测置信度,picnic-预测置信度,railway-预测置信度,reef-预测置信度,river-预测置信度,selfie-预测置信度,senior traveler-预测置信度,shopping mall-预测置信度,skiing-预测置信度,solo traveler-预测置信度,souvenir shop-预测置信度,sunbathing-预测置信度,temple-预测置信度,theater-预测置信度,tour group-预测置信度,train-预测置信度,valley-预测置信度,volcano-预测置信度,waterfall-预测置信度,zoo-预测置信度
<DATA_ROOT>/tourism_pic/test/Citizen Park/215b4440641d26452fe8a7973d412d29.jpg,0,Citizen Park,0,Citizen Park,38,picnic,21,entertainment district,True,0.9537613,0.00014507106,2.3545277e-05,3.2421055e-06,8.9651885e-06,2.7850638e-05,8.746626e-06,0.000117781645,1.3471567e-05,0.00015905671,0.0006148008,1.2798777e-06,5.264977e-06,1.4110888e-06,1.2997433e-05,0.001752895,1.92339e-06,1.2035916e-05,1.783512e-05,6.4972505e-06,6.762444e-05,0.0019469247,0.00010605996,2.0090887e-05,9.967954e-05,0.0012467045,6.354631e-07,0.00033959,3.838701e-06,7.3636984e-06,1.8793391e-05,0.00018158126,0.00040552462,2.12417e-06,1.7730585e-05,1.7229282e-05,2.5098788e-07,6.914032e-06,0.03748069,3.8831286e-06,1.1012347e-06,2.135578e-05,1.8224877e-05,4.0693612e-05,5.5096276e-05,9.721244e-07,6.963374e-05,1.17565005e-05,0.00025053075,1.4598501e-05,3.8863236e-05,0.0003007287,1.396521e-05,0.0001746563,6.659199e-06,1.8297977e-06,0.00031006243
<DATA_ROOT>/tourism_pic/test/Citizen Park/00a25c06b8f0ddee0f32fdc267aa6869.jpg,0,Citizen Park,21,entertainment district,15,city walk,53,valley,False,0.0061419746,5.8326605e-05,0.0014551813,2.3183636e-06,3.503288e-05,6.903573e-05,4.8784223e-06,1.846132e-06,8.876628e-05,0.0017208147,2.950897e-05,5.4858942e-06,2.8993354e-05,1.2627271e-06,0.00012382909,0.08548462,8.755523e-06,1.6812646e-05,1.291285e-05,3.4288314e-05,3.7351532e-05,0.8852148,0.00044144475,2.1791113e-05,5.8373435e-06,1.6028702e-05,1.1268069e-06,0.00097521994,5.577314e-06,2.0297684e-05,2.6954405e-05,6.319651e-05,0.0002510555,4.17611e-05,3.4862966e-05,4.9473398e-05,5.114657e-07,5.171365e-05,6.7818706e-05,9.0757e-05,3.9898836e-07,5.3871834e-05,0.00022738152,0.0002361347,0.0032189242,5.7546863e-06,0.0003735269,0.004075152,4.1720497e-05,0.00010095211,0.0002639881,0.00045648566,0.00040851033,0.007748989,9.520631e-06,1.4566731e-06,3.5004625e-05
<DATA_ROOT>/tourism_pic/test/Citizen Park/7d92a2f9ba80ec4b90ba067c253286f7.jpg,0,Citizen Park,38,picnic,48,sunbathing,0,Citizen Park,True,0.061220214,0.0006362745,1.2457542e-05,3.731397e-06,3.1368174e-05,0.00013754102,4.50706e-05,0.0019219049,1.8853914e-05,4.080435e-05,0.004151588,4.74758e-06,1.6612486e-05,9.590252e-07,2.7092787e-05,0.0005591718,3.9340657e-06,1.1338611e-05,0.0006694504,2.4047327e-05,0.00011545018,0.0009819968,0.00013298985,0.00038728266,6.1849096e-05,0.00025483535,2.5562946e-07,8.192517e-05,7.313751e-06,3.365083e-05,3.0115772e-05,0.00682074,5.2106698e-05,2.1609162e-06,4.0221417e-05,2.6922419e-06,1.4784979e-07,1.5821117e-05,0.63838696,1.1318236e-05,7.9685503e-07,6.991118e-05,8.660651e-05,0.05549214,0.00011996382,2.713016e-06,0.036596093,1.2042616e-05,0.18912047,1.1382706e-05,4.87679e-05,0.0009885215,1.4382477e-05,0.00029722322,3.1431914e-06,1.242454e-06,0.00017760064
<DATA_ROOT>/tourism_pic/test/Citizen Park/d0a48380bec4826e98acf357a9497c14.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,15,city walk,True,0.9736727,4.3347836e-06,2.3990657e-05,8.497148e-07,6.7410983e-06,1.737309e-06,3.569147e-07,8.531419e-06,0.00016909995,8.269096e-05,1.5702608e-05,2.4154757e-05,4.2761203e-05,2.0004984e-06,1.1033845e-05,0.0016350584,3.7239952e-06,5.486802e-06,1.7538478e-06,1.8918756e-05,1.6791558e-06,0.02207047,0.00014400794,6.2356507e-06,3.4142486e-06,2.2402051e-05,3.2803442e-07,0.00020191575,8.0920915e-07,1.7255442e-06,4.46992e-06,2.3015946e-05,0.00010627029,1.2302102e-05,4.4544235e-05,9.83319e-06,3.2913934e-07,0.0002672282,4.08895e-05,1.0540141e-05,7.4983745e-08,6.859428e-05,1.831823e-05,9.1144275e-06,5.0842086e-06,1.4320598e-07,2.264513e-06,5.530756e-05,2.6067803e-05,7.6054355e-05,6.4685635e-05,6.514996e-05,9.2881906e-05,0.0007511201,3.6801111e-06,1.4983783e-06,5.5874505e-05
<DATA_ROOT>/tourism_pic/test/Citizen Park/cb851e91115299511a7c0ec2dee56ca1.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,15,city walk,True,0.9996259,1.3050328e-06,1.7890155e-06,5.025113e-08,5.6506707e-07,2.642258e-07,1.5104115e-07,4.3877453e-06,5.702302e-06,9.108238e-06,6.0108964e-06,8.710098e-07,5.4455663e-06,1.0155951e-06,9.542727e-07,6.344114e-05,4.4816974e-07,1.9895151e-07,8.251432e-07,5.1120446e-07,2.1814652e-07,6.5478205e-05,1.175528e-05,4.695939e-06,2.8513616e-06,9.647376e-06,1.308604e-07,2.232352e-05,1.953546e-07,5.5957514e-07,4.8819425e-06,2.9474622e-06,6.0709835e-06,2.623563e-06,2.0600046e-06,1.3480266e-06,2.6422782e-07,6.3621665e-06,2.7512238e-05,7.0242436e-07,2.0002362e-08,8.895211e-06,2.957644e-06,2.3820837e-06,5.3503766e-07,5.294524e-08,4.1606788e-07,5.3145322e-06,5.1522393e-06,2.2121837e-06,5.153704e-06,5.1777247e-06,8.251854e-06,4.0070863e-05,8.4954934e-07,5.882664e-07,1.0334046e-05
<DATA_ROOT>/tourism_pic/test/Citizen Park/46d834eda2efa68c61753a6ab757fca6.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,15,city walk,True,0.9995204,7.270305e-07,6.7103144e-07,1.0977922e-07,3.5176453e-07,3.6332375e-07,7.753882e-08,1.4442439e-06,1.30431845e-05,1.978383e-05,2.9553132e-06,1.6756751e-06,3.0208353e-06,6.7070897e-07,1.3012813e-06,0.00010076191,6.1876585e-07,3.5047566e-07,4.8104175e-07,4.25319e-07,1.2394604e-07,0.00011436673,2.6282644e-06,2.133286e-06,1.3026445e-06,2.1777247e-05,4.264747e-08,2.1407095e-05,1.251051e-07,1.2056566e-07,5.259938e-07,1.5636298e-06,6.093326e-05,1.0527268e-06,3.4080713e-06,1.1761097e-06,5.6327856e-08,8.883032e-06,1.0147256e-05,4.418326e-07,1.1309641e-08,8.348115e-06,2.5680517e-06,1.8341734e-06,3.2498883e-07,2.2684274e-08,1.1872364e-07,5.497545e-06,2.3203731e-06,3.0295714e-06,1.2174106e-05,7.4124305e-06,1.1130369e-05,1.0569686e-05,4.236156e-07,8.292646e-07,1.2329904e-05
<DATA_ROOT>/tourism_pic/test/Citizen Park/12da710b06285a912840875947cbf8dc.jpg,0,Citizen Park,0,Citizen Park,32,monument,15,city walk,True,0.9957217,5.536106e-06,9.497011e-07,4.6255434e-07,1.4243601e-06,1.9383842e-06,1.9535602e-07,3.7053908e-06,2.613193e-05,4.2064552e-05,4.0859636e-06,9.777102e-07,4.2947554e-06,1.0115069e-06,1.1279441e-06,0.00032679416,1.6670411e-06,4.0558115e-07,1.2335064e-06,3.1972104e-07,1.4832408e-07,0.00027436702,5.6252393e-06,4.925897e-06,7.40016e-07,0.00016482813,8.9959066e-08,0.00026128153,1.1346679e-06,5.3931706e-07,2.0601708e-06,2.7867466e-06,0.0027471958,1.51756e-06,1.7792441e-05,7.9550523e-07,8.109055e-08,1.0430948e-05,2.2582324e-05,1.3368991e-06,6.612096e-08,2.9767194e-05,1.5447376e-05,4.4121693e-06,4.2328008e-07,1.4260216e-07,1.8498838e-06,1.8793316e-05,1.59709e-05,7.738003e-06,7.175686e-06,0.00016394019,1.568253e-05,2.633608e-05,1.7700467e-06,9.968218e-07,2.2976126e-05
<DATA_ROOT>/tourism_pic/test/Citizen Park/f1f47c1f6ead53ef1caa21584ec48a9f.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,15,city walk,True,0.9994531,4.8832585e-06,2.1938565e-06,8.1012026e-08,5.1578746e-07,3.9338406e-07,1.3881052e-07,3.0898175e-06,7.658042e-06,9.0066305e-06,8.383758e-06,9.247291e-07,5.1447896e-06,9.469482e-07,2.3180717e-06,5.3238928e-05,3.507232e-07,7.3430346e-07,1.4930897e-06,4.6483134e-07,2.6982025e-07,0.000134984,1.5802487e-05,7.4135714e-06,3.0080007e-06,1.3523391e-05,2.235854e-07,2.762995e-05,2.3604562e-07,4.6752638e-07,6.5981076e-06,3.2493056e-06,1.097374e-05,1.845588e-06,2.0398816e-06,2.5389159e-06,2.77845e-07,1.1111548e-05,5.25163e-05,1.1493138e-06,2.468424e-08,1.4220428e-05,3.9706897e-06,3.5649698e-06,6.673283e-07,1.11779215e-07,7.029965e-07,6.2423173e-06,7.1486934e-06,4.1424714e-06,2.4802828e-05,2.1757429e-05,1.4791729e-05,3.1031017e-05,9.803508e-07,7.2495516e-07,1.4413873e-05
<DATA_ROOT>/tourism_pic/test/Citizen Park/aaba13a3535883894f0be7b61d736a28.jpg,0,Citizen Park,0,Citizen Park,38,picnic,23,family with kids,True,0.99723417,6.1607225e-06,3.8807934e-06,2.407479e-07,1.8850092e-06,2.2217066e-06,1.033349e-06,0.000102597165,5.8266055e-06,2.4004203e-05,0.00028352148,1.7978505e-07,1.561596e-05,8.663954e-07,6.9433263e-06,2.4957613e-05,9.590242e-07,1.1186196e-06,7.5834384e-07,3.4534205e-06,6.961589e-07,3.1991003e-05,5.6608227e-05,0.00034855254,5.893804e-06,2.581117e-05,9.230285e-08,1.0476943e-05,9.768868e-07,2.0778411e-06,3.188055e-06,9.754602e-06,1.1427364e-05,2.0937625e-06,1.774024e-06,6.4272617e-06,3.1191586e-08,3.7156244e-07,0.0014287696,7.4619174e-07,1.7234889e-07,6.3242527e-07,7.4120685e-06,7.090758e-06,8.474783e-06,1.3216307e-06,6.5719377e-07,1.7214677e-06,5.7880396e-05,2.5834208e-06,2.8414215e-06,4.299606e-06,4.5452834e-06,2.9037776e-05,1.2576883e-06,1.832864e-07,0.00020181831
<DATA_ROOT>/tourism_pic/test/Citizen Park/747aae99f8fa865974924397d50138b4.jpg,0,Citizen Park,35,nightclub,21,entertainment district,15,city walk,False,0.009984562,0.00032271745,0.0005327769,5.723072e-06,0.00011319354,0.0002541992,5.934934e-06,0.00046848206,9.248531e-05,0.0014136455,3.565144e-05,1.4824332e-05,0.0001177424,0.0001496445,5.668068e-05,0.083966464,2.4594528e-05,8.4678984e-05,9.6651114e-05,6.1809296e-05,0.0029656736,0.13039853,0.009545798,3.245178e-05,1.994147e-05,0.00017048071,3.570644e-06,0.0020031265,4.996472e-06,7.834723e-05,5.9131326e-06,0.0003581216,3.105377e-05,2.760563e-05,0.00016430533,0.7370747,4.6193904e-06,0.00018610136,0.00053004426,7.355466e-05,4.8472124e-05,7.182706e-05,0.00016542319,6.869059e-05,0.005180733,3.254941e-05,0.00036500389,0.010287154,8.251443e-05,0.00017071921,0.00040736445,0.0008351134,7.525e-05,0.0005113356,4.5537956e-05,9.67407e-06,0.00016118238
