类别,precision,recall,f1-score,support,accuracy,AP,AUC
Citizen Park,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0,0.8666666666666667,0.9288725405274192,0.9975529508533827
Group photo,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0,0.8333333333333334,0.9001436167446035,0.9952704092124203
airport,1.0,0.9666666666666668,0.9830508474576272,30.0,0.9666666666666668,0.9936936936936936,0.9998560559325519
ancient temple,0.9310344827586208,0.9,0.9152542372881356,30.0,0.9,0.9472499524795528,0.9984577421344849
art gallery,0.7692307692307693,0.7692307692307693,0.7692307692307693,26.0,0.7692307692307693,0.7753098137656552,0.9955147928994083
backpacker,0.6666666666666666,0.8,0.7272727272727273,30.0,0.8,0.7413720238038068,0.9939749126053876
beach,0.7058823529411765,0.8,0.75,30.0,0.8,0.8095169267402961,0.9962368908081431
botanical garden,0.9310344827586208,0.9310344827586208,0.9310344827586208,29.0,0.9310344827586208,0.9780976073849464,0.999617330668821
bridge,0.9615384615384616,0.8928571428571429,0.925925925925926,28.0,0.8928571428571429,0.9707683709061814,0.9994718774755743
cable car,1.0,0.9666666666666668,0.9830508474576272,30.0,0.9666666666666668,0.9979166666666668,0.9999588731235862
camping,1.0,1.0,1.0,28.0,1.0,1.0,1.0
canyon,0.9,0.9642857142857144,0.9310344827586208,28.0,0.9642857142857144,0.9879629629629628,0.9997579438429716
castle,0.925925925925926,0.8333333333333334,0.8771929824561403,30.0,0.8333333333333334,0.9571526148580364,0.9989512646514498
cave,0.9333333333333332,1.0,0.9655172413793104,28.0,1.0,0.9974929627023223,0.9999559897896312
church,1.0,0.9,0.9473684210526316,30.0,0.9,0.97288746105919,0.9983549249434506
city walk,0.7096774193548387,0.8148148148148148,0.7586206896551724,27.0,0.8148148148148148,0.762877229354309,0.9889162561576355
cliff,0.8275862068965517,0.9230769230769232,0.8727272727272727,26.0,0.9230769230769232,0.9575013969154346,0.9993372781065089
concert hall,0.88,0.7586206896551724,0.8148148148148148,29.0,0.7586206896551724,0.8890609612957416,0.997066201794294
couple,0.9629629629629628,0.9629629629629628,0.9629629629629628,27.0,0.9629629629629628,0.9973055065647658,0.9999543878854225
desert,0.8888888888888888,0.8,0.8421052631578947,30.0,0.8,0.9202696532408328,0.9926177256837343
dining,0.9375,1.0,0.967741935483871,30.0,1.0,0.995766129032258,0.9999177462471726
entertainment district,0.7692307692307693,0.6666666666666666,0.7142857142857143,30.0,0.6666666666666666,0.852425618931364,0.9951059017067654
exhibition hall,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,0.8518518518518519,0.9509280296526246,0.9988140850209816
family with kids,0.9285714285714286,0.896551724137931,0.912280701754386,29.0,0.896551724137931,0.9177096045599952,0.9852672307496066
forest,0.9655172413793104,0.9333333333333332,0.9491525423728814,30.0,0.9333333333333332,0.9608974830282088,0.9983754883816573
fountain,0.9655172413793104,0.9333333333333332,0.9491525423728814,30.0,0.9333333333333332,0.994126984126984,0.9998766193707589
glacier,0.9642857142857144,0.9310344827586208,0.9473684210526316,29.0,0.9310344827586208,0.9869868637110016,0.9997023682979719
harbor,0.8181818181818182,0.9642857142857144,0.8852459016393442,28.0,0.9642857142857144,0.9649175495949688,0.9977114690608221
hiking,0.6176470588235294,0.7,0.65625,30.0,0.7,0.7173012614064393,0.9928027966275962
island,0.8076923076923077,0.7,0.75,30.0,0.7,0.8850693595787444,0.9962368908081431
lake,0.7586206896551724,0.7857142857142857,0.7719298245614035,28.0,0.7857142857142857,0.8402430593588845,0.9953789279112754
library,0.9583333333333334,0.8518518518518519,0.9019607843137256,27.0,0.8518518518518519,0.9841512507293504,0.9997263273125343
monument,0.8709677419354839,0.9,0.8852459016393442,30.0,0.9,0.9533783908589248,0.9986222496401398
mountain,0.8571428571428571,0.6,0.7058823529411765,30.0,0.6,0.8113392811853504,0.9934402632120091
museum,0.65625,0.7,0.6774193548387096,30.0,0.7,0.5879794896641038,0.9912708204811844
nightclub,0.967741935483871,1.0,0.9836065573770492,30.0,1.0,1.0,1.0
ocean,0.8928571428571429,0.925925925925926,0.9090909090909092,27.0,0.925925925925926,0.983324023646604,0.9996807151979565
opera house,0.8928571428571429,0.925925925925926,0.9090909090909092,27.0,0.925925925925926,0.8847574230598414,0.9981070972450283
picnic,0.875,0.9655172413793104,0.918032786885246,29.0,0.9655172413793104,0.993521421107628,0.9998724435562736
railway,0.7692307692307693,0.6666666666666666,0.7142857142857143,30.0,0.6666666666666666,0.8022537333661105,0.9954143532798684
reef,1.0,0.92,0.9583333333333334,25.0,0.92,1.0,1.0
river,0.8275862068965517,0.8,0.8135593220338984,30.0,0.8,0.8829545566960758,0.9913016656384948
selfie,0.935483870967742,0.9666666666666668,0.9508196721311476,30.0,0.9666666666666668,0.9744791666666668,0.9979847830557269
senior traveler,0.7647058823529411,0.9285714285714286,0.8387096774193549,28.0,0.9285714285714286,0.9743238996246516,0.99944987237039
shopping mall,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0,0.8666666666666667,0.9323807519844712,0.9944684351223525
skiing,0.9375,1.0,0.967741935483871,30.0,1.0,0.9989247311827956,0.9999794365617932
solo traveler,0.85,0.5666666666666667,0.68,30.0,0.5666666666666667,0.7167007757914002,0.9886901089862224
souvenir shop,0.9333333333333332,0.9333333333333332,0.9333333333333332,30.0,0.9333333333333332,0.9851295904499928,0.9997121118651039
sunbathing,0.96,0.9230769230769232,0.9411764705882352,26.0,0.9230769230769232,0.9751130374863975,0.9995502958579882
temple,0.7714285714285715,0.9,0.8307692307692308,30.0,0.9,0.883880708541285,0.9973061895949004
theater,0.7419354838709677,0.7931034482758621,0.7666666666666667,29.0,0.7931034482758621,0.842555311435345,0.9929206173731877
tour group,0.75,0.6,0.6666666666666666,30.0,0.6,0.8316060716254199,0.9962780176845569
train,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0,0.8333333333333334,0.758402070948955,0.9958461854822125
valley,0.625,0.6896551724137931,0.6557377049180327,29.0,0.6896551724137931,0.61016305488893,0.9758918321357201
volcano,1.0,1.0,1.0,30.0,1.0,1.0,1.0
waterfall,0.9375,1.0,0.967741935483871,30.0,1.0,0.9633907686177244,0.9995681677976558
zoo,0.9230769230769232,0.8888888888888888,0.9056603773584906,27.0,0.8888888888888888,0.9785008020302136,0.9993842364532021
macro avg,0.8664411703070054,0.8630205561058556,0.862184942137093,1651.0,0.8630205561058556,0.9098427055480024,0.9967452554150195
weighted avg,0.8658956362882962,0.8619018776499091,0.8613153659590469,1651.0,0.8619018776499088,0.9089547451633057,0.9967106225263066
