epoch,batch,train_loss
1,0,1.0159407
1,1,0.84104276
1,2,1.0967131
1,3,0.9560424
1,4,0.7801151
1,5,0.59059787
1,6,0.8304919
1,7,0.8762281
1,8,0.9424269
1,9,0.85554886
1,10,1.1077185
1,11,0.753062
1,12,0.92135227
1,13,0.6493257
1,14,0.93430984
1,15,0.967342
1,16,0.69969803
1,17,0.69932485
1,18,1.0986825
1,19,0.6411159
1,20,0.87032473
1,21,0.8147751
1,22,0.9296377
1,23,0.6612012
1,24,0.6860174
1,25,0.6921252
1,26,0.7934419
1,27,1.2397935
1,28,0.8068355
1,29,0.6357212
1,30,0.465521
1,31,0.5286084
1,32,0.53226304
1,33,0.8111957
1,34,0.7085495
1,35,0.8669132
1,36,0.89640325
1,37,0.56107974
1,38,0.90623873
1,39,0.907199
1,40,0.6790385
1,41,0.93566597
1,42,1.0480156
1,43,0.74844813
1,44,0.65571713
1,45,0.81831896
1,46,0.5914511
1,47,0.867213
1,48,0.5458151
1,49,0.9170265
1,50,0.56515753
1,51,0.9367065
1,52,0.6056665
1,53,0.6007095
1,54,0.67087436
1,55,0.6553855
1,56,0.55923784
1,57,0.57453614
1,58,0.7556524
1,59,0.52773994
1,60,0.72470605
1,61,0.73182195
1,62,0.6780452
1,63,1.1123216
1,64,0.6621944
1,65,0.6289035
1,66,0.5527481
1,67,0.57093096
1,68,0.96756315
1,69,0.87491244
1,70,0.45157218
1,71,0.66343594
1,72,0.8205216
1,73,0.8593408
1,74,0.51981694
1,75,0.77476233
1,76,0.78086746
1,77,0.6110543
1,78,0.71722686
1,79,0.52609706
1,80,0.72813797
1,81,0.65650564
1,82,0.6661353
1,83,0.73683167
1,84,0.40974715
1,85,0.6734575
1,86,0.51762545
1,87,0.9855827
1,88,0.65386295
1,89,0.67872155
1,90,0.75930965
1,91,0.43467918
1,92,0.41052222
1,93,0.5261946
1,94,0.8740554
1,95,0.79914176
1,96,0.652322
1,97,0.9364855
1,98,1.0271615
1,99,0.549173
1,100,0.85420763
1,101,0.56750154
1,102,0.5160098
1,103,0.5332763
1,104,0.66715443
1,105,0.5593251
1,106,0.48223218
1,107,0.64815015
1,108,0.49069503
1,109,0.4859529
1,110,0.620873
1,111,0.6670608
1,112,0.6070252
1,113,0.92097145
1,114,0.60309255
1,115,1.0558305
1,116,0.54401827
1,117,0.62869763
1,118,1.0031397
1,119,0.7240559
1,120,0.72727394
1,121,0.75247467
1,122,0.94193256
1,123,0.6289314
1,124,0.9944512
1,125,0.5742258
1,126,0.6749974
1,127,0.62960845
1,128,0.5180079
1,129,0.6126067
1,130,0.9124249
1,131,0.8312571
1,132,0.7550194
1,133,0.9039196
1,134,0.64256287
1,135,0.5628016
1,136,0.40946072
1,137,0.77499175
1,138,0.7136865
1,139,0.42883563
1,140,0.47148967
1,141,0.458906
1,142,0.5993396
1,143,0.70824033
1,144,0.6318172
1,145,0.68016183
1,146,0.62028843
1,147,0.5932521
1,148,0.575106
1,149,0.57454157
1,150,1.0108976
1,151,0.866627
1,152,0.5171181
1,153,0.80504984
1,154,0.7017523
1,155,0.00043155425
2,0,0.4278404
2,1,0.41150215
2,2,0.32142448
2,3,0.48742893
2,4,0.53234696
2,5,0.30393958
2,6,0.5656432
2,7,0.6971286
2,8,0.49361026
2,9,0.6893529
2,10,0.39455834
2,11,0.5216425
2,12,0.6674466
2,13,0.65605146
2,14,0.5228946
2,15,0.6863705
2,16,0.30148256
2,17,0.6097115
2,18,0.6551711
2,19,0.65321267
2,20,0.7048181
2,21,0.7524426
2,22,0.37806082
2,23,0.54990363
2,24,0.5121872
2,25,0.46398896
2,26,0.66454434
2,27,0.4939891
2,28,0.59580165
2,29,0.67547786
2,30,0.7076653
2,31,0.6163379
2,32,0.43075463
2,33,0.5981991
2,34,0.57791287
2,35,0.5453131
2,36,0.7435452
2,37,0.4373613
2,38,0.6994207
2,39,0.65062845
2,40,0.5492202
2,41,0.61686015
2,42,0.6893413
2,43,0.45813262
2,44,0.6918152
2,45,0.54511833
2,46,0.4234053
2,47,0.73467994
2,48,0.4543771
2,49,0.6216359
2,50,0.380644
2,51,0.44073913
2,52,0.5466516
2,53,0.58648646
2,54,0.47716948
2,55,0.5139874
2,56,0.712603
2,57,0.3265673
2,58,0.4448206
2,59,0.6019396
2,60,0.6632111
2,61,0.30811504
2,62,0.38999537
2,63,0.41615838
2,64,0.73789644
2,65,0.6159837
2,66,0.4436101
2,67,0.27395022
2,68,0.5399985
2,69,0.514661
2,70,0.3405662
2,71,0.41082293
2,72,0.6073274
2,73,0.5663059
2,74,0.5791105
2,75,0.40240866
2,76,0.59269124
2,77,0.75796854
2,78,0.5928458
2,79,0.46254158
2,80,0.5323645
2,81,0.35611844
2,82,0.5802166
2,83,0.67902756
2,84,0.51811385
2,85,0.44888088
2,86,0.375591
2,87,0.71771014
2,88,0.6182772
2,89,0.7242757
2,90,0.69393754
2,91,0.6193193
2,92,0.5694325
2,93,0.49250036
2,94,0.37188578
2,95,0.5684282
2,96,0.6047832
2,97,0.38898665
2,98,0.48570687
2,99,0.30426133
2,100,0.58440125
2,101,0.3579429
2,102,0.47871396
2,103,0.55586636
2,104,0.48293412
2,105,0.33788568
2,106,0.60046506
2,107,0.27650997
2,108,0.4700264
2,109,0.4057089
2,110,0.37779903
2,111,0.44705936
2,112,0.36738235
2,113,0.5262052
2,114,0.4062416
2,115,0.47977996
2,116,0.45919132
2,117,0.5168606
2,118,0.66500115
2,119,0.45940048
2,120,0.55103576
2,121,0.25885266
2,122,0.47837895
2,123,0.5132334
2,124,0.36338925
2,125,0.33562654
2,126,0.38422716
2,127,0.5285913
2,128,0.5417621
2,129,0.33421123
2,130,0.7355692
2,131,0.50914073
2,132,0.25541997
2,133,0.53351426
2,134,0.52990806
2,135,0.5753027
2,136,0.39338738
2,137,0.60713303
2,138,0.64953464
2,139,0.47779632
2,140,0.6406586
2,141,0.75313115
2,142,0.5164823
2,143,0.3979786
2,144,0.63868576
2,145,0.59344685
2,146,0.49979216
2,147,0.4920576
2,148,0.5963949
2,149,0.43464628
2,150,0.2938578
2,151,0.43052334
2,152,0.5931064
2,153,0.43449715
2,154,0.64309
2,155,0.3472101
3,0,0.592291
3,1,0.52594864
3,2,0.3791108
3,3,0.3361435
3,4,0.34289145
3,5,0.3554873
3,6,0.38080168
3,7,0.4486395
3,8,0.42366913
3,9,0.5739524
3,10,0.5064005
3,11,0.53681636
3,12,0.39166477
3,13,0.5842431
3,14,0.5182868
3,15,0.3586598
3,16,0.7922579
3,17,0.40239072
3,18,0.35811442
3,19,0.25310582
3,20,0.43511885
3,21,0.5993633
3,22,0.72098553
3,23,0.36235315
3,24,0.3756435
3,25,0.3338387
3,26,0.6480111
3,27,0.41546836
3,28,0.32719672
3,29,0.56476176
3,30,0.49181062
3,31,0.40263987
3,32,0.3358261
3,33,0.5443816
3,34,0.39262378
3,35,0.46360177
3,36,0.282628
3,37,0.35287142
3,38,0.5154996
3,39,0.47258967
3,40,0.48203954
3,41,0.429102
3,42,0.44970077
3,43,0.76508164
3,44,0.3824171
3,45,0.4331944
3,46,0.3851095
3,47,0.33417577
3,48,0.37521014
3,49,0.39052087
3,50,0.40556613
3,51,0.3446406
3,52,0.309884
3,53,0.66055036
3,54,0.7456745
3,55,0.5239867
3,56,0.5649838
3,57,0.43095475
3,58,0.46946254
3,59,0.60263467
3,60,0.4598633
3,61,0.39258528
3,62,0.6616876
3,63,0.6515454
3,64,0.5614176
3,65,0.38053966
3,66,0.4357512
3,67,0.48695803
3,68,0.4330044
3,69,0.39715695
3,70,0.46338373
3,71,0.7544906
3,72,0.52527905
3,73,0.46736568
3,74,0.20939958
3,75,0.59635127
3,76,0.45738298
3,77,0.4168986
3,78,0.4111538
3,79,0.5712726
3,80,0.6484249
3,81,0.47562855
3,82,0.28859997
3,83,0.49788946
3,84,0.473056
3,85,0.4909513
3,86,0.36141825
3,87,0.6627265
3,88,0.537411
3,89,0.5115819
3,90,0.5110791
3,91,0.43714043
3,92,0.6311995
3,93,0.40976715
3,94,0.4184791
3,95,0.44287035
3,96,0.30558395
3,97,0.51211
3,98,0.46184596
3,99,0.46840814
3,100,0.41074938
3,101,0.29312697
3,102,0.38240257
3,103,0.41445887
3,104,0.42734537
3,105,0.5479568
3,106,0.32971683
3,107,0.60277754
3,108,0.5651534
3,109,0.6524755
3,110,0.33814853
3,111,0.2983089
3,112,0.5714457
3,113,0.43712783
3,114,0.374367
3,115,0.51126885
3,116,0.428765
3,117,0.5890609
3,118,0.53841794
3,119,0.31823814
3,120,0.48572633
3,121,0.42647392
3,122,0.36648506
