图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,Bedroom-预测置信度,Coast-预测置信度,Forest-预测置信度,Highway-预测置信度,Industrial-预测置信度,InsideCity-预测置信度,Kitchen-预测置信度,LivingRoom-预测置信度,Mountain-预测置信度,Office-预测置信度,OpenCountry-预测置信度,Store-预测置信度,Street-预测置信度,Suburb-预测置信度,TallBuilding-预测置信度
<DATA_ROOT>/data15/test/Bedroom/image_0003.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,9,Office,True,0.93365526,2.29984e-07,3.3208656e-07,5.438833e-08,8.300149e-07,1.5362286e-07,0.0005195548,0.06259702,1.7357099e-06,0.0031651289,9.408011e-07,5.670703e-05,1.9525899e-07,1.7958824e-07,1.6500397e-06
<DATA_ROOT>/data15/test/Bedroom/image_0004.jpg,0,Bedroom,0,Bedroom,6,Kitchen,7,LivingRoom,True,0.99264294,5.164441e-08,3.5632755e-08,3.611774e-07,8.0156425e-08,5.8120772e-08,0.0057331896,0.0014061038,3.8049325e-07,0.00021433418,5.813233e-07,1.7654119e-06,3.9411034e-08,5.7384697e-09,1.1691132e-07
<DATA_ROOT>/data15/test/Bedroom/image_0006.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,9,Office,True,0.96594083,1.3467399e-09,2.4354899e-08,6.763208e-11,4.0086293e-10,3.7049603e-09,9.4528764e-07,0.034055483,1.7463114e-09,2.6045873e-06,3.9062678e-09,8.806576e-08,2.521951e-09,4.9575984e-08,2.2802709e-09
<DATA_ROOT>/data15/test/Bedroom/image_0007.jpg,0,Bedroom,7,LivingRoom,0,Bedroom,6,Kitchen,True,0.09231387,9.9278e-06,3.6870075e-05,6.423451e-07,0.0001666072,0.00039361286,0.014086479,0.8884558,5.4540685e-08,0.003988049,2.5813094e-06,7.1547e-05,0.00020905101,8.165167e-07,0.00026403548
<DATA_ROOT>/data15/test/Bedroom/image_0008.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,9,Office,True,0.9949626,8.028973e-10,4.5999724e-09,3.217233e-09,5.1217053e-09,1.8406004e-09,7.681141e-06,0.0050043096,9.576644e-08,2.0974605e-05,3.144398e-08,4.3378463e-06,1.2795859e-08,2.4879931e-08,4.7737697e-10
<DATA_ROOT>/data15/test/Bedroom/image_0011.jpg,0,Bedroom,0,Bedroom,9,Office,7,LivingRoom,True,0.79872984,1.752288e-06,1.2561779e-06,5.6431327e-07,4.4630447e-06,7.8806315e-06,0.013411915,0.05120121,1.1178035e-05,0.0943163,1.0007801e-06,0.042236913,1.8804811e-06,6.53188e-05,8.487959e-06
<DATA_ROOT>/data15/test/Bedroom/image_0014.jpg,0,Bedroom,6,Kitchen,0,Bedroom,7,LivingRoom,True,0.107312374,2.344952e-07,5.06343e-07,4.4994724e-07,2.2084832e-06,4.3112545e-05,0.7779221,0.088452585,8.224148e-08,0.026088629,1.2748893e-07,0.00017131766,2.8344172e-07,4.514413e-07,5.5562687e-06
<DATA_ROOT>/data15/test/Bedroom/image_0016.jpg,0,Bedroom,7,LivingRoom,0,Bedroom,6,Kitchen,True,0.4502413,8.770782e-08,4.399701e-05,2.6526214e-07,1.1327408e-05,5.686891e-05,0.0014016097,0.5461582,1.856461e-07,7.3491574e-05,1.2370289e-06,0.0007092031,0.0012774412,2.076433e-05,3.9268443e-06
<DATA_ROOT>/data15/test/Bedroom/image_0017.jpg,0,Bedroom,7,LivingRoom,0,Bedroom,6,Kitchen,True,0.07484856,1.4892772e-08,9.068969e-09,2.7710024e-08,2.797338e-07,6.5870054e-06,0.019608172,0.8974639,2.6039936e-07,0.007997642,3.1544843e-08,6.424855e-05,4.5741785e-06,4.8692204e-06,7.394779e-07
<DATA_ROOT>/data15/test/Bedroom/image_0019.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,9,Office,True,0.98967105,9.3087865e-06,1.10649735e-05,4.9393935e-07,1.1358721e-05,3.5942944e-07,0.0003532924,0.0095035415,2.3113388e-07,0.00039669924,3.1484358e-06,8.803856e-06,5.1117877e-07,2.8942148e-07,2.9999108e-05
