图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,airport_inside-预测置信度,artstudio-预测置信度,auditorium-预测置信度,bakery-预测置信度,bar-预测置信度,bathroom-预测置信度,bedroom-预测置信度,bookstore-预测置信度,bowling-预测置信度,buffet-预测置信度,casino-预测置信度,children_room-预测置信度,church_inside-预测置信度,classroom-预测置信度,cloister-预测置信度,closet-预测置信度,clothingstore-预测置信度,computerroom-预测置信度,concert_hall-预测置信度,corridor-预测置信度,deli-预测置信度,dentaloffice-预测置信度,dining_room-预测置信度,elevator-预测置信度,fastfood_restaurant-预测置信度,florist-预测置信度,gameroom-预测置信度,garage-预测置信度,greenhouse-预测置信度,grocerystore-预测置信度,gym-预测置信度,hairsalon-预测置信度,hospitalroom-预测置信度,inside_bus-预测置信度,inside_subway-预测置信度,jewelleryshop-预测置信度,kindergarden-预测置信度,kitchen-预测置信度,laboratorywet-预测置信度,laundromat-预测置信度,library-预测置信度,livingroom-预测置信度,lobby-预测置信度,locker_room-预测置信度,mall-预测置信度,meeting_room-预测置信度,movietheater-预测置信度,museum-预测置信度,nursery-预测置信度,office-预测置信度,operating_room-预测置信度,pantry-预测置信度,poolinside-预测置信度,prisoncell-预测置信度,restaurant-预测置信度,restaurant_kitchen-预测置信度,shoeshop-预测置信度,stairscase-预测置信度,studiomusic-预测置信度,subway-预测置信度,toystore-预测置信度,trainstation-预测置信度,tv_studio-预测置信度,videostore-预测置信度,waitingroom-预测置信度,warehouse-预测置信度,winecellar-预测置信度
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0044.jpg,0,airport_inside,61,trainstation,0,airport_inside,59,subway,True,0.19056664,2.603803e-05,0.0011912249,1.3720319e-05,1.4778041e-05,9.102642e-07,4.082239e-07,1.6934804e-05,0.0002762014,7.511306e-06,9.9560515e-05,6.333191e-07,5.546802e-05,3.3151863e-07,7.527071e-05,2.5957114e-08,1.1909511e-05,5.4529355e-06,0.00010366566,4.4895537e-06,3.1888285e-05,5.482922e-07,1.7890402e-07,2.9286794e-05,1.3062213e-05,2.3240964e-05,2.0890393e-06,0.0001383395,0.0001569815,7.176616e-05,4.9245155e-05,1.8623587e-06,2.405497e-06,6.94668e-05,2.0550608e-05,1.6455748e-05,9.006968e-06,1.9871258e-07,1.3314458e-05,1.1101224e-05,3.3362212e-05,1.1420211e-06,0.0014335491,1.0512673e-05,0.0045069517,1.8709043e-05,5.643541e-05,0.0051961145,1.3694056e-07,5.5391024e-06,8.6694035e-06,5.142002e-07,0.00014057271,2.0346819e-05,1.5113869e-05,4.09466e-06,2.6270242e-05,0.0001001752,4.1742173e-06,0.027214374,0.00013640663,0.76582456,2.74518e-05,1.2739054e-05,3.8985168e-06,0.0019895039,7.651703e-05
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0062.jpg,0,airport_inside,0,airport_inside,42,lobby,61,trainstation,True,0.99879104,2.6906636e-07,1.4992333e-05,7.745949e-08,5.3871634e-07,2.585435e-07,1.231556e-07,1.3760021e-07,1.068354e-05,4.5657427e-07,5.0684635e-06,2.7994634e-08,1.0054837e-06,1.6442851e-07,3.1734576e-06,7.6603905e-09,1.3719936e-07,1.9464894e-06,9.167597e-07,3.3040007e-05,5.3836576e-08,3.632387e-07,1.8111793e-08,6.8918675e-06,5.0808114e-07,5.915942e-07,2.2276028e-07,9.574777e-07,9.057387e-07,1.9117219e-07,2.3769549e-06,3.6909475e-07,4.328618e-06,4.1521184e-06,1.2973483e-07,5.917804e-07,4.276895e-08,1.02602415e-08,5.272818e-07,1.1218608e-06,1.1099819e-06,1.6479399e-07,0.00065290794,1.4779132e-06,2.8644234e-05,1.4059489e-05,1.1911138e-06,6.6211e-05,5.3341154e-08,2.4033184e-06,6.865807e-07,1.648151e-08,2.9990113e-05,9.645805e-07,8.296859e-07,5.6721397e-08,5.080278e-07,6.775746e-06,1.6187697e-07,1.4158735e-05,9.184097e-08,0.00025533006,1.8935598e-06,4.235035e-07,2.955925e-05,1.702392e-06,2.6222907e-07
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0088.jpg,0,airport_inside,0,airport_inside,42,lobby,30,gym,True,0.9845604,1.557066e-06,9.334244e-05,3.843504e-07,4.8641637e-06,1.83902e-06,3.5456085e-06,6.01694e-07,0.00040364233,6.067756e-06,2.5764548e-05,1.4850432e-06,6.079051e-06,9.872408e-07,5.4266047e-06,1.4729392e-07,1.4603531e-06,1.7968406e-06,3.6815159e-06,0.0002795469,4.402071e-07,7.17497e-07,2.7805487e-07,9.934828e-05,2.699194e-06,1.4868288e-06,2.3349521e-05,1.3224058e-05,7.380804e-07,3.686742e-07,0.0007744122,1.1615866e-06,5.541028e-06,1.7216333e-05,3.0449536e-07,2.4315843e-06,7.615401e-07,7.445701e-08,2.9801984e-07,3.1316931e-06,1.3528746e-06,1.9469767e-06,0.012911019,0.00010204314,2.6674994e-05,3.1431722e-05,1.5274136e-05,9.557895e-05,6.083362e-07,1.1046838e-05,1.3255568e-06,8.901807e-08,8.143366e-05,3.491691e-06,2.8804488e-06,1.6802093e-07,5.734775e-06,4.6749952e-05,1.7534334e-06,1.2571856e-05,1.816555e-06,5.328239e-05,6.7538276e-06,3.7787681e-06,0.00022550869,3.995135e-06,1.1719638e-06
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0095.jpg,0,airport_inside,64,waitingroom,0,airport_inside,57,stairscase,True,0.21053493,0.0023666406,0.0037971032,0.00043354742,0.0031597412,0.0015766217,0.00066165737,0.0005938903,0.0039771213,0.0002810722,0.0012513686,0.0004777361,0.0046370523,0.002181075,0.019290196,8.583506e-05,0.0014437323,0.0012796762,0.00034346437,0.0031765825,0.0006917452,0.015616939,0.00037466697,0.004725192,0.0018495297,0.0013889403,0.0005429684,0.0012795079,0.00078252796,0.00015858377,0.0036028088,0.0024440116,0.0071161063,0.0031883947,0.0013715338,0.011472678,0.0034733163,9.7483586e-05,0.0018502106,0.0013404525,0.006610573,0.0011615306,0.074674115,0.0042389403,0.061113115,0.001279791,0.0006046308,0.04770828,0.003908232,0.0127204545,0.00054040714,0.00010008642,0.007644026,0.005272338,0.014329816,0.00011236162,0.005107173,0.076467425,0.00019928189,0.0040184422,0.0011170778,0.011132286,0.0073997066,0.0009736285,0.32537216,0.0009920157,0.00028539228
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0140.jpg,0,airport_inside,0,airport_inside,61,trainstation,44,mall,True,0.99824774,3.3977173e-07,3.1123982e-05,1.7500261e-07,3.251978e-07,1.513222e-07,1.5894359e-07,6.6835156e-07,4.1386274e-06,4.1119048e-07,2.4600333e-06,2.3056401e-08,3.3747693e-07,3.6159456e-08,1.6213004e-06,1.0572411e-08,1.2089203e-06,7.3579696e-07,6.3295033e-07,3.590555e-06,1.7841016e-07,9.150328e-08,6.719119e-09,9.4176124e-07,6.4065443e-07,9.148396e-07,1.040817e-07,3.0112285e-06,1.7706051e-06,8.6502007e-07,1.992572e-06,1.2218071e-07,5.701447e-07,2.8835736e-06,2.0966603e-08,1.0052281e-06,2.9641392e-08,9.137051e-09,2.7086793e-07,6.844347e-07,1.4593436e-06,8.122001e-08,0.00017325128,4.1802997e-07,0.00055581017,2.9590415e-06,6.504356e-07,0.00011775542,4.6408676e-08,1.3470027e-06,2.2592917e-07,1.4504704e-08,1.5135323e-05,3.7832336e-07,7.615902e-07,3.428828e-08,1.4170286e-06,9.072862e-06,1.11324596e-07,7.7837185e-06,1.4080621e-06,0.0007846556,1.8054753e-06,7.094632e-07,1.1617427e-06,9.293849e-06,3.635997e-07
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0152.jpg,0,airport_inside,0,airport_inside,52,poolinside,61,trainstation,True,0.6285749,3.3186723e-06,0.0012205705,1.2518466e-06,3.0278761e-06,6.070025e-06,5.0834456e-07,8.0624284e-07,0.0006525609,2.9230648e-06,4.7595786e-05,2.3358717e-07,8.112124e-06,5.673633e-07,0.00016745219,8.5484935e-09,2.1487797e-06,1.3651254e-05,1.2581787e-05,1.755653e-05,1.7978115e-07,1.9311417e-06,3.8900986e-08,5.3169774e-06,1.7842455e-06,1.2494719e-06,5.758022e-06,0.00010125618,4.7346515e-05,4.0932405e-06,0.000784607,6.336181e-06,1.1114513e-05,1.0385445e-05,3.2906155e-07,3.9420433e-06,7.749696e-07,7.1936704e-08,4.398078e-06,6.4495766e-06,1.4317065e-05,4.6245987e-07,0.0017102062,4.579023e-05,0.00057506416,7.298748e-05,5.4728916e-06,0.0004640935,1.6030788e-07,5.746283e-06,5.672743e-06,2.9456562e-08,0.1836592,2.5220237e-05,4.9260084e-06,5.635814e-07,2.640351e-06,0.000112332054,3.3388053e-06,0.0019234822,1.0263849e-06,0.17948927,1.6331276e-05,1.4898293e-06,1.4684679e-05,0.00010140809,1.0923326e-05
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0165.jpg,0,airport_inside,0,airport_inside,42,lobby,23,elevator,True,0.9610776,5.28329e-06,0.0001521827,2.6263058e-06,5.2455187e-05,7.845997e-06,4.601372e-07,3.933351e-06,0.00036040627,1.50323895e-05,0.00014387498,1.16041e-06,4.7908703e-05,4.216667e-06,4.5981433e-05,6.497043e-07,8.071405e-06,1.3388458e-05,2.65248e-05,0.0008595958,4.347375e-06,4.1507237e-06,1.7911172e-07,0.009546001,1.5564035e-05,4.6034324e-06,1.2541862e-05,6.705449e-05,2.8667937e-06,3.214002e-06,0.00015342339,6.8073005e-06,1.3222537e-05,9.095672e-05,1.7644305e-05,2.2765369e-05,2.005391e-06,1.0291998e-07,5.347393e-06,1.1033607e-05,5.0388417e-06,7.9790703e-07,0.015025045,0.00063931296,0.00032441283,0.0001871308,0.00015253433,0.0067589367,4.894875e-07,1.099122e-05,4.33041e-06,9.673348e-07,0.00016176575,9.574383e-05,9.737774e-06,9.737269e-07,1.914621e-05,0.00015889433,2.5256213e-06,0.0014748457,1.0182644e-05,0.00083806884,3.9115293e-05,5.1483992e-05,0.0011521678,5.561303e-05,6.9544035e-06
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0275.jpg,0,airport_inside,0,airport_inside,61,trainstation,47,museum,True,0.9937681,9.26662e-07,0.00015047193,7.404852e-07,2.200886e-06,1.4499434e-06,2.8311607e-07,7.9081445e-07,2.0888676e-05,2.2732631e-06,1.5517047e-05,3.5221582e-08,1.5953699e-06,2.94584e-07,6.044716e-06,2.9278741e-08,1.7458759e-06,8.954648e-06,5.058561e-06,2.7600676e-05,5.9488764e-07,5.618024e-07,2.0388885e-08,1.360575e-05,2.4773137e-06,9.4499103e-07,7.969987e-07,3.6499648e-06,2.400953e-06,1.7847403e-06,1.0285155e-05,6.424998e-07,2.2844818e-06,1.0155872e-05,3.5103056e-07,2.3525974e-06,1.7142685e-07,3.9115367e-08,1.5724135e-06,4.0599257e-06,4.079168e-06,8.690381e-08,0.00029547073,3.6155561e-06,0.0005870838,5.867407e-06,3.516758e-06,0.0007776618,8.7649916e-08,3.213829e-06,9.4052797e-07,7.286113e-08,3.4031622e-05,4.691003e-06,2.2699962e-06,1.4012242e-07,2.4969627e-06,3.9228173e-05,5.334359e-07,0.000107799475,1.3898538e-06,0.0040328577,3.6013985e-06,4.1185e-06,3.761312e-06,6.295793e-06,1.3405233e-06
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0290.jpg,0,airport_inside,0,airport_inside,44,mall,64,waitingroom,True,0.90464026,0.00015963105,0.00012182856,0.0011269714,0.0017201247,8.9578214e-05,0.0004906003,0.00024302743,0.00044073694,0.00011780809,0.000494268,6.918672e-06,5.9688573e-05,5.6673485e-05,3.823684e-05,1.3362518e-05,0.00061784976,0.0002090772,1.529127e-05,6.657573e-05,0.0016942967,0.0004897682,6.5349554e-06,0.0024682735,0.0012569085,0.0003054509,9.183955e-05,0.00039922283,4.974674e-05,0.00026659438,0.00031509466,0.00033631275,0.009190834,0.003212274,0.009237389,0.0058471775,5.6141653e-06,1.4432462e-05,0.000846518,0.0008059818,6.940828e-05,0.00012502489,0.0012896416,0.0009100852,0.011214548,0.000115871975,0.00030624194,0.0029743037,2.6689697e-05,0.000491975,0.0013844307,2.1745305e-05,0.00022256534,0.0018797738,0.00030531693,0.0002773042,0.002675578,0.00058509567,7.669458e-05,0.00469429,0.0016469397,0.004788347,0.0017291511,0.0020118046,0.010100435,0.0024570662,5.0841434e-05
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0306.jpg,0,airport_inside,0,airport_inside,61,trainstation,42,lobby,True,0.9985707,3.129429e-07,7.5749304e-06,1.5511783e-07,7.852766e-07,2.3656256e-07,2.2637327e-07,1.609252e-07,1.6102054e-05,1.7742572e-07,2.2900294e-06,2.7532945e-08,2.7991035e-07,8.789998e-08,3.3486654e-06,8.0204945e-09,4.4436857e-07,2.0229954e-06,3.0929286e-07,0.00023699286,1.7493505e-07,1.2058495e-06,8.467518e-09,3.8662256e-06,1.2496234e-06,1.3341149e-06,3.411774e-07,5.2795367e-06,7.1872154e-07,1.1826977e-06,1.00630405e-05,2.039885e-06,9.320061e-06,1.0897253e-05,9.83527e-07,7.7719886e-07,7.1056874e-08,8.365501e-09,2.7622855e-07,1.4897214e-06,1.0167644e-06,1.2342376e-07,0.00024307986,5.0554704e-06,5.3999902e-05,1.3928462e-06,9.041513e-07,2.1829213e-05,1.749107e-07,2.1449982e-06,9.614072e-07,2.0425732e-08,5.481981e-06,1.3708573e-06,6.385727e-07,2.7563788e-08,5.6813496e-07,8.325751e-06,1.3601185e-07,0.00015210852,4.942835e-07,0.00055284926,2.135503e-06,1.1281204e-06,4.675281e-05,3.4271745e-06,1.6602463e-07
